Profile	ID	A	I_YY	I_ZZ	As_y	As_z	It	Ip	Mass	Shear_center_y	Shear_center_z
SHS 250 / 16	1083	0.014701	0.0001327	0.0001327	0.007351	0.007351	0.0002114	0.0004228	115.4	0	0
SHS 260 / 6.3	1084	0.006351	0.00006788	0.00006788	0.003175	0.003175	0.0001042	0.0002084	49.9	0	0
SHS 260 / 8	1085	0.007995	0.00008423	0.00008423	0.003998	0.003998	0.0001301	0.0002602	62.8	0	0
SHS 260 / 10	1086	0.009893	0.0001024	0.0001024	0.004946	0.004946	0.0001593	0.0003186	77.7	0	0
SHS 260 / 12.5	1087	0.012207	0.0001236	0.0001236	0.006104	0.006104	0.0001941	0.0003882	95.8	0	0
SHS 260 / 14.2	1088	0.013745	0.0001371	0.0001371	0.006873	0.006873	0.0002166	0.0004332	107.9	0	0
SHS 260 / 16	1089	0.015341	0.0001506	0.0001506	0.007671	0.007671	0.0002394	0.0004788	120.4	0	0
SHS 300 / 6.3	1090	0.007359	0.0001055	0.0001055	0.003679	0.003679	0.0001614	0.0003228	57.8	0	0
SHS 300 / 8	1091	0.009275	0.0001313	0.0001313	0.004638	0.004638	0.0002019	0.0004038	72.8	0	0
SHS 300 / 10	1092	0.011493	0.0001603	0.0001603	0.005746	0.005746	0.0002481	0.0004962	90.2	0	0
SHS 300 / 12.5	1093	0.014207	0.0001944	0.0001944	0.007104	0.007104	0.0003033	0.0006066	111.5	0	0
SHS 300 / 14.2	1094	0.016017	0.0002164	0.0002164	0.008009	0.008009	0.0003394	0.0006788	125.7	0	0
SHS 300 / 16	1095	0.017901	0.0002385	0.0002385	0.008951	0.008951	0.0003762	0.0007524	140.5	0	0
SHS 350 / 8	1096	0.010875	0.0002113	0.0002113	0.005438	0.005438	0.0003238	0.0006476	85.4	0	0
SHS 350 / 10	1097	0.013493	0.0002588	0.0002588	0.006746	0.006746	0.0003989	0.0007978	105.9	0	0
SHS 350 / 12.5	1098	0.016707	0.0003154	0.0003154	0.008354	0.008354	0.0004893	0.0009786	131.2	0	0
SHS 350 / 14.2	1099	0.018857	0.0003521	0.0003521	0.009429	0.009429	0.0005488	0.0010976	148	0	0
SHS 350 / 16	1100	0.021101	0.0003894	0.0003894	0.010551	0.010551	0.0006099	0.0012198	165.6	0	0
SHS 400 / 10	1101	0.015493	0.0003913	0.0003913	0.007746	0.007746	0.0006009	0.0012018	121.6	0	0
SHS 400 / 12.5	1102	0.019207	0.0004784	0.0004784	0.009604	0.009604	0.0007391	0.0014782	150.8	0	0
SHS 400 / 14.2	1103	0.021697	0.0005353	0.0005353	0.010849	0.010849	0.0008303	0.0016606	170.3	0	0
SHS 400 / 16	1104	0.024301	0.0005934	0.0005934	0.012151	0.012151	0.0009244	0.0018488	190.8	0	0
SHS 400 / 20	1105	0.029971	0.0007153	0.0007153	0.014985	0.014985	0.001125	0.00225	235.3	0	0
